tokens,aspect_tags,review,author,sentence,total_aspects,has_aspect,fold
"['Uma', 'voz', 'poderosa', 'como', 'a', 'voz', 'de', 'o', 'mar', ',', 'como', 'a', 'voz', 'de', 'o', 'vento', 'que', 'corre', 'em', 'torno', 'a', 'o', 'casarão', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",17,amado,89,0,0,1
"['Será', 'um', 'penitente', ',', 'não', 'olhará', 'mais', 'o', 'espetáculo', 'de', 'o', 'mundo', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",17,amado,90,0,0,1
"['Não', 'quer', 'ver', 'nada', 'de', 'o', 'que', 'se', 'passa', 'em', 'o', 'mundo', 'para', 'ter', 'os', 'olhos', 'suficientemente', 'limpos', 'para', 'poderem', 'ver', 'a', 'face', 'de', 'Deus', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",17,amado,91,0,0,1
"['Porque', 'a', 'voz', 'de', 'Deus', 'que', 'fala', 'em', 'o', 'seu', 'coração', 'é', 'tão', 'poderosa', 'que', 'não', 'tem', 'comparação', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",17,amado,92,0,0,1
"['O', 'jeitinho', 'que', 'o', 'Jorge', 'Amado', 'conta', 'histórias', '-', 'independente', 'de', 'estrutura', ',', 'sintaxe', ',', 'conteúdo', 'intelectual', '-', 'é', 'algo', 'que', 'Dostoiévski', 'nenhum', 'jamais', 'soube', 'fazer', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29,amado,168,0,0,1
"['Devo', 'perdão', 'a', 'a', 'biblioteca', 'por', 'ter', 'deixado', 'algumas', 'marquinhas', 'úmidas', 'em', 'o', 'livro', ',', 'inclusive', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29,amado,169,0,0,1
"['O', 'romance', 'é', 'dividido', 'em', 'três', 'partes', ',', 'e', 'os', 'meus', 'comentários', 'sobre', 'ele', 'idem', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29,amado,170,0,0,1
"['Em', 'a', 'primeira', 'de', 'elas', ',', '""', 'Sob', 'a', 'lua', ',', 'em', 'um', 'velho', 'trapiche', 'abandonado', '""', ',', 'eu', 'não', 'me', 'importaria', 'nem', 'um', 'pouco', 'se', 'Jorge', 'só', 'continuasse', 'descrevendo', 'os', 'personagens', ',', 'para', 'sempre', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29,amado,171,0,0,1
"['Cada', 'um', 'de', 'os', 'meninos-homens', 'abandonados', ',', 'integrantes', 'de', 'os', 'Capitães', 'de', 'a', 'Areia', ',', 'tem', 'sua', 'história', ',', 'todas', 'lindas', ',', 'impossível', 'não', 'criar', 'afeição', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29,amado,172,0,0,1
"['O', 'leitor', 'é', 'apresentado', 'a', 'dura', 'realidade', 'de', 'a', 'cidade', 'baixa', 'lá', 'por', 'a', 'década', 'de', '30', ',', 'em', 'a', 'época', 'de', 'o', 'início', 'de', 'a', 'ditadura', 'getulista', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29,amado,173,0,0,1
"['O', 'ambiente', 'em', 'que', 'vivem', 'é', 'o', 'culpado', 'por', 'os', 'roubos', 'de', 'os', 'meninos', ',', 'que', 'muito', 'cedo', 'conhecem', 'a', 'maldade', 'e', 'a', 'malícia', 'de', 'o', 'mundo', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29,amado,174,0,0,1
"['Ainda', 'assim', ',', 'eles', 'têm', 'uma', 'alma', 'livre', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",29,amado,175,0,0,1
"['Em', 'a', 'segunda', 'parte', ',', '""', 'Noite', 'de', 'a', 'grande', 'paz', ',', 'de', 'a', 'grande', 'paz', 'de', 'os', 'teus', 'olhos', '""', ',', 'chega', 'Dora', ',', 'a', 'pequena', 'Maria', 'Bonita', 'de', 'Salvador', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29,amado,176,0,0,1
"['Também', 'chega', 'uma', 'angústia', 'suprema', ',', 'de', 'a', 'repressão', ',', 'de', 'o', 'amor', 'e', 'de', 'a', 'morte', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29,amado,177,0,0,1
"['E', 'em', '""', 'Canção', 'de', 'a', 'Bahia', ',', 'canção', 'de', 'a', 'liberdade', '""', 'todo', 'o', 'sentimento', 'de', 'revolução', 'social', 'que', 'vem', 'se', 'argumentando', 'com', 'o', 'decorrer', 'de', 'o', 'livro', ',', 'querendo', 'crescer', ',', 'finalmente', 'explode', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29,amado,178,0,0,1
"['Tanto', 'como', 'cangaceiros', ',', 'grevistas', ',', 'pintores', '(', 'que', 'retratam', 'a', 'situação', 'de', 'miséria', 'de', 'os', 'jovens', ')', ',', 'os', 'Capitães', 'da', 'Areia', 'amadurecem', 'e', 'por', 'a', 'politização', 'saem', 'de', 'a', 'vida', 'de', 'crime', 'por', 'o', 'crime', 'para', 'pecar', 'só', 'em', 'nome', 'de', 'a', 'pátria', 'e', 'de', 'a', 'família', 'de', 'os', 'pobres', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29,amado,179,0,0,1
"['Não', 'é', 'surpresa', ',', 'portanto', ',', 'que', 'o', 'livro', 'foi', 'considerado', 'propaganda', 'comunista', 'e', 'censurado', 'em', 'época', 'de', 'ditadura', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29,amado,180,0,0,1
"['capitaes', 'de', 'a', 'areia', '29', '/', '08', '/', '2011-', 'Luiz', 'Henrique', 'Guapo']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",54,amado,366,0,0,1
"['Capitães', 'da', 'Areia', 'é', 'um', 'livro', 'de', 'a', 'autoria', 'de', 'Jorge', 'Amado', 'onde', 'ele', 'conta', 'a', 'historia', 'de', 'um', 'grupo', 'de', 'garotos', 'que', 'habita', 'as', 'ruas', 'de', 'o', 'interior', 'baiano', ',', 'que', 'necessitam', 'de', 'carinho', 'afeto', 'e', 'moradia', ',', 'tendo', 'vários', 'personagens', 'que', 'são', 'reconhecidos', 'por', 'apelidos', 'como', ':', 'Pedro', 'Bala', ',', 'Pirulito', ',', 'Gato', 'entre', 'outros', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",54,amado,367,0,0,1
"['Sua', '""', 'base', '""', 'é', 'um', 'trapiche', 'a', 'beira', 'mar', 'e', 'são', 'regidos', 'por', 'um', 'líder', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",54,amado,368,0,0,1
"['Passam', 'por', 'vários', 'perigos', 'quando', 'se', 'envolvem', 'em', 'brigas', 'e', 'sofrem', 'com', 'a', 'perda', 'de', 'o', 'amigo', 'Almiro', ',', 'após', 'esses', 'acontecimentos', 'eles', 'passam', 'a', 'ter', 'uma', 'garota', 'em', 'o', 'grupo', 'Dora', 'é', 'a', 'primeira', '""', 'capitã', 'de', 'a', 'areia', '""', 'que', 'em', 'o', 'inicio', 'sofre', 'uma', 'tentativa', 'de', 'estupro', 'por', 'os', 'garotos', 'de', 'o', 'bando', 'e', 'por', 'vezes', 'alguns', 'tem', 'vontade', 'de', 'mata', '-', 'la', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",54,amado,369,0,0,1
"['-Capitães', 'de', 'Areia']","[0, 0, 0]",57,amado,383,0,0,1
"['Capitães', 'de', 'Areia', 'é', 'um', 'livro', 'baseado', 'em', 'a', 'marginalidade', 'de', 'crianças', 'de', 'rua', 'que', 'vivem', 'em', 'Salvador', ',', 'mais', 'precisamente', ',', 'em', 'um', 'trapiche', 'abandonado', 'por', 'os', 'marinheiros', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",57,amado,384,0,0,1
"['Pedro', 'Bala', 'é', 'o', 'chefe', 'de', 'o', 'grupo', 'de', 'os', '""', 'capitães', 'de', 'areia', '""', ',', 'em', 'torno', 'de', 'ele', ',', 'outros', 'meninos', ',', 'como', 'Sem-Pernas', ',', 'João', 'Grande', ',', 'Professor', ',', 'Gato', ',', 'Querido-de-Deus', 'e', 'Pirulito', ',', 'Pirulito', 'de', 'entre', 'outros', ',', 'levando', 'suas', 'vidas', 'por', 'roubos', ',', 'brigas', ',', 'e', 'acima', 'de', 'tudo', 'ausência', 'de', 'amor', 'e', 'carinho', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",57,amado,385,0,0,1
"['Pedro', 'Bala', 'se', 'apaixona', 'por', 'Dora', ',', 'estes', '""', 'casam', '""', ',', 'e', 'tempos', 'depois', 'ela', 'fica', 'muito', 'doente', 'vindo', 'a', 'falecer', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",57,amado,386,0,0,1
"['Que', 'livro', '!']","[0, 0, 0]",64,amado,439,0,0,1
"['Nunca', 'mais', 'vou', 'subestimar', 'os', 'clássicos', 'brasileiros', '.']","[0, 0, 0, 0, 0, 0, 0, 0]",64,amado,440,0,0,1
"['Esse', 'livro', ',', 'que', 'peguei', 'por', 'obrigação', ',', 'me', 'surpreendeu', 'totalmente', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",64,amado,441,1,1,1
"['Admito', 'que', 'o', 'tema', 'mexe', 'com', 'mim', ',', 'mas', 'a', 'história', ',', 'o', 'estilo', 'de', 'Jorge', 'Amado', ',', 'são', ';', ';', ';', 'de', 'tirar', 'o', 'fôlego', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",64,amado,442,2,1,1
"['o', 'livro', ':', 'Capitães', 'de', 'a', 'areia']","[0, 0, 0, 0, 0, 0, 0]",66,amado,447,0,0,1
"['Por', 'os', 'livros', 'escritos', 'por', 'Jorge', 'Amado', 'de', 'a', 'pra', 'se', 'ter', 'um', 'ideia', 'de', 'que', 'para', 'ele', 'a', 'realidade', 'de', 'o', 'nosso', 'pais', 'é', 'como', 'se', 'passa', 'em', 'a', 'Baía', 'de', 'os', 'Santos', ',', 'ondes', 'acontece', 'a', 'maioria', 'de', 'as', 'dificuldades', 'ou', 'problemas', 'que', 'ele', 'passou', 'em', 'sua', 'época', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",66,amado,448,0,0,1
"['É', 'um', 'romance', 'que', 'tem', 'em', 'vista', 'os', '""', 'capitães', 'de', 'a', 'areia', '""', '(', 'garotos', 'de', 'rua', ')', 'onde', 'se', 'passa', 'a', 'realidade', 'de', 'violência', ',', 'crime', 'e', 'marginalismo', 'onde', 'um', 'bando', 'de', 'crianças', 'e', 'jovens', 'de', '9', 'a', '16', 'rouba', 'para', 'se', 'sustentar', 'em', 'meio', 'a', 'o', 'abandono', 'e', 'independência', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",66,amado,449,0,0,1
"['O', 'livro', 'é', 'visto', 'como', 'um', 'exemplo', 'para', 'que', 'os', 'jovens', 'não', 'se', 'envolvam', 'com', 'crime', 'e', 'violência', 'como', 'acontece', 'em', 'o', 'livro', 'onde', 'os', 'jovens', 'tem', 'de', 'roubar', 'para', 'viver', 'mesmo', 'que', 'tenham', 'que', 'ferir', 'pessoas', 'inocentes', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",66,amado,450,0,0,1
"['Em', 'o', 'livro', 'mostra', 'que', 'não', 'vale', 'a', 'pena', 'ter', 'que', 'ficar', 'roubando', 'para', 'se', 'sustentar', ',', 'pois', 'os', 'ladrões', 'tem', 'que', 'ficar', 'fugindo', 'de', 'a', 'policia', ',', 'sem', 'tirar', 'o', 'fato', 'de', 'que', 'podem', 'roubar', 'algum', 'traficante', 'perigoso', 'o', 'que', 'colocara', 'a', 'vida', 'em', 'risco', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",66,amado,451,0,0,1
"['Apesar', 'de', 'ter', 'achado', 'um', 'pouco', 'chato', 'em', 'o', 'começo', ',', 'confesso', 'que', 'mudei', 'completamente', 'de', 'opnião', 'sobre', 'este', 'livro', 'espetacular', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",89,amado,577,2,1,1
"['Jorge', 'Amado', 'a', 'o', 'escrever', 'capitães', 'de', 'areia', ',', 'usou', 'de', 'todos', 'os', 'seus', 'talentos', ',', 'é', 'interessante', 'como', 'em', 'um', 'livro', 'de', 'meninos', 'de', 'rua', ',', 'que', 'vivem', 'em', 'a', 'verdadeira', 'miséria', ';', 'podemos', 'encontrar', 'assuntos', 'tão', 'diversoos', ',', 'como', ':', 'a', 'religão', ',', 'que', 'mostra', 'o', 'catolicismo', 'e', 'o', 'candomblé', ',', 'em', 'as', 'figuras', 'de', 'o', 'Padre', 'José', 'Pedro', 'e', ""Don'Aninha"", '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",89,amado,578,0,0,1
"['O', 'amor', 'inocente', 'e', 'desconhecido', 'de', 'Dora', 'e', 'Pedro', 'bala', ',', 'os', 'prazeres', 'de', 'o', 'sexo', ';', 'encontrado', 'por', 'os', 'meninos', 'antes', 'mesmo', 'de', 'se', 'tornarem', 'adultos', ',', 'a', 'carencia', 'por', 'um', 'amor', 'fraternal', ',', 'a', 'desigualdade', 'social', 'e', 'cultural', ',', 'o', 'descaso', 'de', 'as', 'autoridades', ',', 'os', 'sonhos', 'e', 'desejos', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",89,amado,579,0,0,1
"['Os', 'capitães', 'de', 'areia', 'são', 'crianças', ',', 'pobres', ',', 'sem', 'estudos', 'e', 'maltrapilhas', ';', 'porém', ',', 'com', 'o', 'coração', 'de', 'adultos', ';', 'preservam', 'os', 'amigos', ',', 'respeitam', 'as', 'leis', ';', 'não', 'as', 'nossas', ';', 'mas', 'as', 'leis', 'de', 'eles', ',', 'as', 'de', 'os', 'capitães', 'de', 'areia', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",89,amado,580,0,0,1
"['É', 'triste', 'ler', 'e', 'lembrar', 'que', 'existem', 'varios', '""', 'capitães', 'de', 'areia', '""', 'por', 'aí', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",89,amado,581,0,0,1
"['Por', 'as', 'ruas', ',', 'em', 'o', 'frio', ',', 'com', 'fome', 'e', 'sede', ',', 'necessitando', 'de', 'carinho', 'e', 'atenção', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",89,amado,582,0,0,1
"['É', 'triste', 'e', 'revoltante', 'como', 'existem', 'pessoas', 'que', 'não', 'se', 'importam', 'verdadeiramente', 'com', 'essas', 'crianças', ',', 'não', 'percebem', 'que', 'o', 'futuro', 'de', 'elas', 'é', 'tambem', 'o', 'futuro', 'de', 'o', 'nosso', 'pais', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",89,amado,583,0,0,1
"['Prevenção', '?']","[0, 0]",100,amado,732,0,0,1
"['Livro', 'que', 'expões', 'diversos', 'problemas', 'sociais', 'através', 'de', 'a', 'vida', 'de', 'órfãos', 'que', 'vivem', 'em', 'um', 'armazém', 'abandonado', ',', 'enfrentando', 'muitas', 'dificuldades', 'para', 'conseguirem', 'sobreviver', 'a', 'fome', ',', 'o', 'frio', ',', 'o', 'abandono', ',', 'a', 'violência', 'de', 'os', 'seus', 'iguais', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,amado,733,0,0,1
"['Jorge', 'Amado', 'em', 'esta', 'obra', 'retratou', 'como', 'vivem', 'crianças', 'de', 'rua', ',', 'o', 'que', 'fazem', 'em', 'o', 'seu', 'dia', 'a', 'dia', ',', 'seu', '""', 'desenvolvimento', '""', 'precoce', 'ante', 'a', 'precariedade', 'enfrentada', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,amado,734,0,0,1
"['Crianças', 'amadurecidas', 'por', 'a', 'carência', ',', 'por', 'a', 'necessidade', ',', 'por', 'a', 'luta', 'que', 'são', 'obrigadas', 'a', 'enfrentar', 'em', 'uma', 'cidade', 'que', 'não', 'os', 'aceita', '..', 'Em', 'a', 'corrida', 'por', 'a', 'sobrevivência', 'partem', 'para', 'o', 'crime', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,amado,735,0,0,1
"['Atitudes', 'essas', 'que', 'muda', 'o', 'destino', 'de', 'todos', 'tanto', 'de', 'maneira', 'positiva', 'quanto', 'negativa', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,amado,736,0,0,1
"['Começar', 'minha', 'resenha', 'por', 'o', 'final', 'de', 'o', 'livro', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",122,amado,883,0,0,1
"['Mensagem', 'ideológica', 'fortíssima', '.']","[0, 0, 0, 0]",122,amado,884,0,0,1
"['Mesmo', '.']","[0, 0]",122,amado,885,0,0,1
"['Faz', 'sentido', ',', 'Jorge', 'Amado', 'era', 'coligado', 'a', 'o', 'Partido', 'a', 'a', 'época', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",122,amado,886,0,0,1
"['Belíssimo', 'livro', '.']","[0, 1, 0]",122,amado,887,1,1,1
"['Mostra', 'a', 'humanidade', 'em', 'todos', ',', 'talvez', 'com', 'um', 'pouco', 'de', 'idealismo', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",122,amado,888,0,0,1
"['Emocionante', '.']","[0, 0]",122,amado,889,0,0,1
"['em', 'a', 'boca', 'de', 'o', 'estômago']","[0, 0, 0, 0, 0, 0]",131,amado,936,0,0,1
"['É', 'uma', 'crítica', 'social', 'bem', 'forte', ',', 'a', 'o', 'mesmo', 'tempo', 'que', 'é', 'lírico', 'e', 'triste', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",131,amado,937,0,0,1
"['Aqui', 'em', 'casa', 'tem', 'uma', 'coleção', 'de', 'livros', 'de', 'o', 'Jorge', 'Amado', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",140,amado,977,0,0,1
