tokens,aspect_tags,total_aspects,has_aspect,fold,review
"['Bom', 'preço', ',', 'smart', 'com', 'todas', 'as', 'vantagens', 'de', 'entrar', 'na', 'internet', 'e', 'assistir', 'vídeos', 'do', 'youtube', 'ou', 'netflix', ',', 'qualidade', 'de', 'imagem', 'e', 'som', '.', 'Nada', 'a', 'reclamar', '.']","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",4,1,1,49
"['boa', 'aparencia', ',', 'excelente', 'aquisição', '.', 'foi', 'entregue', 'antes', 'do', 'prazo', ',', 'muito', 'bom', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1,50
"['Sansung', 'marca', 'que', 'confio', 'e', 'recomendo', '.', 'Estou', 'muito', 'feliz', 'com', 'esta', 'tv', '.', 'Parabens', 'americanas', 'e', 'a', 'sansung', 'também', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,1,51
"['Eu', 'gostei', 'da', 'Tv', 'ótimo', 'recursos', 'e', 'funcionalidade', ',', 'a', 'imagem', 'é', 'nítida', 'e', 'boa', '.']","[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",4,1,1,52
"['Excelente', 'imagem', 'e', 'muito', 'boa', 'conectividade', 'wifi', ',', 'fácil', 'instalação', 'e', 'configuração', '.']","[0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 1, 0]",4,1,1,53
"['Excelente', 'produto', ',', 'entregue', 'antes', 'do', 'prazo', 'anunciado', ',', 'atendeu', 'minhas', 'expectativas', ',', 'custo', '/beneficio', 'excelente', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]",2,1,1,54
"['É', 'uma', 'ótima', 'TV', 'e', 'recomendo', 'a', 'todos', '!', 'Imagem', 'e', 'som', 'perfeitos', '!', '!', '!', 'Estou', 'amando', 'ver', 'meus', 'filmes', 'e', 'séries', '!', '!', '!']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,1,55
"['É', 'uma', 'mercadoria', 'muito', 'boa', ',', 'chegou', 'dentro', 'do', 'prazo', ',', 'e', 'estou', 'satisfeita', '!']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1,56
"['A', 'imagem', 'e', 'os', 'recursos', 'da', 'TV', 'são', 'bons', ',', 'tem', 'boa', 'conectividade', 'com', 'a', 'internet', '.', 'Mas', 'o', 'som', ',', 'parece', 'de', 'radinho', 'de', 'pilha', ',', 'irritante', '.']","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,1,57
"['Tv', 'perfeita', ',', 'imagem', 'boa', ',', 'som', 'bom', ',', 'conexão', 'rapida', '!', 'Não', 'tenho', 'do', 'que', 'reclamar', '!']","[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,1,58
"['TV', 'moderna', 'leve', ',', 'eficiente', 'imagem', 'perfeita', ',', 'ideal', 'para', 'ambientes', 'pequenos', '.']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,1,1,59
"['JÁ', 'É', 'A', 'SEGUNDA', 'QUE', 'COMPRO', '.', 'FORMIDÁVEL', '!', 'Indico', 'para', 'todos', 'e', 'digo', 'que', 'vale', 'à', 'pen']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,60
"['Um', 'pouco', 'trabalhoso', 'para', 'ajustar', 'os', 'controles', 'vindos', 'de', 'fábrica', ',', 'mas', 'depois', 'de', 'ajustados', 'imagem', ',', 'som', 'etc', 'ficam', 'muito', 'bons', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",3,1,1,61
"['Processamento', 'rápido', 'após', 'a', 'primeira', 'configuração', ',', 'muito', 'leve', ',', 'excelente', 'custo', 'benefício', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]",2,1,1,62
"['Adorei', ',', 'recomendo', '.', 'Produto', 'de', 'ótima', 'qualidade', ',', 'leve', 'e', 'com', 'designer', 'atraente', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2,1,1,63
"['Além', 'de', 'ser', 'um', 'super', 'produto', ',', 'o', 'mesmo', 'foi', 'entregue', 'em', '6', 'dias', 'corridos', 'sendo', 'que', 'o', 'prazo', 'era', 'de', '39', 'dias', 'úteis', '.', 'Super', 'recomendo', '.', 'Loja', 'Americanas', 'Melhor', 'Loja', '❤', '❤']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1,64
"['Gostei', 'muito', 'do', 'aparelho', '.', 'nada', 'a', 'reclamar', '.', 'imagem', 'e', 'som', 'muito', 'bom', '.', 'pretendo', 'comprar', 'outra', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,1,1,65
"['Otimo', 'produto', 'e', 'entrega', 'super', 'rápida', 'Qualidade', 'e', 'preço', 'muito', 'bons']","[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",3,1,1,66
"['Tv', 'de', 'otima', 'qualidade', 'recomendo', 'imagem', 'e', 'som', 'de', 'otima', 'qualidade', '.']","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",3,1,1,67
"['Excelente', 'sintonia', 'dos', 'canais', '.', 'Perfeita', 'a', 'conexão', 'pelo', 'wi', 'fi', '.', 'Net', 'flix', 'é', 'tudo', 'de', 'bom', '.', 'Recomendo', '.', 'Samsung', 'é', 'Samsung', '.']","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,1,68
"['Gostei', 'bastante', '.', 'TV', 'HD', ',', 'muito', 'boa', 'imagem', ',', 'o', 'som', 'não', 'e', 'muito', 'bom', ',', 'mas', 'pro', 'quarto', 'tá', 'legal', '.', 'Da', 'pra', 'acessar', 'ou', 'tube', ',', 'Netflix', 'e', 'muito', 'mais', '.', 'Legal', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,1,69
"['Muito', 'boa', ',', 'nao', 'deixa', 'nada', 'a', 'deseja', 'funciona', 'tudo', 'netflix', ',', 'youtube', 'SMARTHUB', ',', 'tudo', 'perfeito', 'bom', 'demais', ',', 'recomendo', '....']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1,70
"['Ótima', 'qualidade', ',', 'leve', ',', 'fácil', 'para', 'mecher', 'funciona', 'muito', 'bem', 'a', 'netflix', ',', 'YouTube', ',', 'acesso', 'a', 'Internet', '...', 'ponto', 'negativo', 'as', 'vezes', 'desliga', 'sozinha', '...', 'Ou', 'da', 'umas', 'travadinha']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1,71
"['A', 'televisão', 'é', 'compacta', 'e', 'a', 'imagem', 'de', 'alta', 'qualidade', '.']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",2,1,1,72
"['Satisfeitíssima', 'com', 'o', 'produto', ',', 'estou', 'muito', 'feliz', '.', 'Entrega', 'muito', 'rápida', '.', 'Nota', '10', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",2,1,1,73
"['Muito', 'boa', 'a', 'TV', 'e', 'a', 'entrega', 'bem', 'antes', 'do', 'combinado', '.']","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",2,1,1,74
"['Produto', 'de', 'Boa', 'qualidade', ',', 'ótima', 'imagem', ',', 'o', 'áudio', 'deixa', 'um', 'pouco', 'a', 'desejar', '.']","[1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",3,1,1,75
"['gostei', 'muito', ',', 'entregaram', 'mesmo', 'no', 'domingo', ',', 'excelente', ',', 'agora', 'posso', 'ver', 'vídeos', 'do', 'you', 'tube', 'sem', 'pc', ',', 'e', 'ainda', 'tem', 'receptor', 'de', 'internet', 'sem', 'cabo', ',', 'excelente', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,76
"['Prática', ',', 'excelente', 'imagem', '!', 'A', 'entrega', 'foi', 'bem', 'antes', 'do', 'programado', '!']","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",2,1,1,77
"['Boa', 'smart', 'TV', ',', 'mas', 'o', 'som', 'é', 'fraco', 'não', 'parece', 'realmente', 'ter', 'os', '20w', 'q', 'propõe']","[0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,1,78
"['Parabens', 'pra', 'Sansung', 'a', 'smart', 'tv', 'eh', 'tudo', 'de', 'bom', 'e', 'parabens', 'as', 'Americanas', 'pelo', 'atendimento', 'nota', '10', '.']","[0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",3,1,1,79
"['TV', 'EM', 'GERAL', 'MUITO', 'BOA', ',', 'FACIL', 'ACESSO', 'E', 'BOA', 'RESPOSTA', 'DOS', 'APPS', '.', 'RESSALVO', 'A', 'QUALIDADE', 'DO', 'SOM', ',', 'MUITO', 'FRACO', 'E', 'ACABA', 'SENDO', 'NITIDO', 'A', 'BAIXA', 'QUALIDADE', 'EM', 'SONS', 'GRAVES', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]",4,1,1,80
