tokens,aspect_tags,author,num_aspects,has_aspect,fold
"['Engraçado', 'que', 'ser', 'em', 'pouco', 'momento', 'que', 'eu', 'me', 'situar', 'em', 'o', 'década', 'de', 'trintar', ',', 'porque', 'ser', 'evidente', 'que', 'o', 'livrar', 'não', 'se', 'tornar', 'menos', 'realistar', 'com', 'o', 'passar', 'de', 'o', 'ano', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Não', 'dar', 'pra', 'não', 'olhar', 'o', 'o', 'redor', 'e', 'pensar', 'diferente', ',', 'nem', 'que', 'ser', 'um', 'pouco', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Pedro', 'Bala', ',', 'Sem-Pernas', ',', 'o', 'Gato', ',', 'Dora', ',', 'Professor', 'ganhar', 'meu', 'coração', 'com', 'seu', 'jeito', 'de', 'gente', 'real', '.']","[1, 2, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,5,1,1
"['De', 'história', 'de', 'verdade', '.']","[0, 0, 0, 0, 0]",amado,0,0,1
"['Mesmo', 'que', 'o', 'vezar', 'ser', 'difícil', 'acreditar', 'que', 'o', 'livrar', 'falir', 'de', 'criança', ',', 'de', 'adolescente', 'mais', 'novo', 'que', 'eu', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['O', 'que', 'só', 'reforçar', 'o', 'mensagem', 'de', 'o', 'livrar', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Que', 'o', 'pobreza', ',', 'o', 'desprezar', 'e', 'o', 'desigualdade', 'tirar', 'tudo', 'de', 'o', 'capitão', ',', 'inclusive', 'o', 'infância', '(', 'menos', 'o', 'liberdade', ',', 'que', '""', 'o', 'liberdade', 'ser', 'o', 'bem', 'maior', 'de', 'o', 'mundo', '""', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Achei', 'tão', 'poético', 'e', 'bonito', ',', 'que', 'mesmo', 'o', 'realidade', 'que', 'ser', 'mostrar', 'ser', 'bem', 'cru', 'e', 'explicitar', ',', 'não', 'tirar', 'o', 'lírico', 'e', 'o', 'almo', 'tão', 'verdadeiro', 'que', 'ter', 'em', 'esse', 'livrar', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",amado,1,1,1
"['Jorge', 'Amado', 'não', 'possuir', 'de', 'o', 'técnico', 'de', 'escrito', 'mais', 'erudito', ',', 'mas', 'o', 'que', 'se', 'propor', 'o', 'fazer', 'em', 'esse', 'livrar', 'o', 'fazer', 'com', 'bastante', 'precisão', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['A', 'crítico', 'social', 'evidente', 'o', 'cercar', 'de', 'o', '""', 'cidade', 'de', 'o', 'Bahia', '""', 'e', 'seu', 'menino', 'de', 'ruir', 'soer', 'bastante', 'atual', ',', 'além', 'de', 'mostrar', 'o', 'lado', 'de', 'aquele', 'que', 'ser', 'considerar', 'apenas', '""', 'moleque', '""', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['O', 'enredar', 'contar', 'o', 'história', 'de', 'o', 'Capitães', 'de', 'o', 'Areia', ':', 'criança', 'que', 'abandonar', 'suar', 'família', '(', 'algum', 'não', 'ter', 'família', ')', 'e', 'ser', 'morar', 'em', 'um', 'trapiche', ',', 'onde', 'viver', 'de', 'furtar', 'parir', 'sobreviver', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['A', 'história', 'ocorrer', 'em', 'o', 'Bahia', ',', 'de', 'criança', 'pobre', 'em', 'que', 'ter', 'ajudar', 'de', 'o', 'Padre', 'José', 'Pedro', ',', 'em', 'que', 'um', 'dia', 'ser', 'alertar', 'de', 'retirar', 'suar', 'posição', 'por', 'ter', 'ajudar', '-', 'o', ';', 'e', ""Don'Aninha"", ',', 'o', 'mãe', 'de', 'santo', 'de', 'o', 'Capitães', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['E', 'o', 'mais', 'valente', 'de', 'o', 'grupar', ',', 'seriar', 'Pedro', 'Bala', ',', 'atual', 'chefe', 'de', 'o', 'Capitães', 'de', 'o', 'Areia', ',', 'ser', 'o', 'cabeça', 'de', 'o', 'grupar', ',', 'tanto', 'em', 'decisão', 'comer', 'esquema', 'de', 'roubo', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
['presentar'],[0],amado,0,0,1
"['Os', 'capitão', 'ser', 'criança', 'quando', 'veem', 'um', 'carrossel', 'ou', 'lembrar', 'de', 'suar', 'mãe', 'o', 'o', 'receber', 'o', 'caro', 'de', 'Dora', ',', 'umar', 'menina-moça', 'cheio', 'de', 'maturidade', 'e', 'coragem', ',', 'que', 'ser', 'levar', 'juntar', 'o', 'o', 'bandar', 'empurrar', 'por', 'o', 'morte', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Sem-perna', 'ser', 'criança', 'quando', 'se', 'deparar', 'com', 'umar', 'mãe', 'de', 'coração', 'despedaçar', ',', 'que', 'o', 'abraçar', ',', 'o', 'vestir', 'e', 'o', 'amo', 'comer', 'o', 'menino', 'que', 'só', 'ele', 'enxergar', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Pedro', 'ser', 'criança', 'quando', 'escutar', 'o', 'história', 'sobrar', 'o', 'seu', 'pai', 'e', 'o', 'suar', 'imaginação', 'voar', 'por', 'não', 'saber', 'exatamente', 'por', 'o', 'que', 'ele', 'lutar', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Os', 'capitão', 'ser', 'adulto', 'quando', 'roubar', ',', 'estuprar', 'e', 'trapacear', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Quando', 'quase', 'todo', 'o', 'grupar', 'ignorar', 'o', 'lágrima', 'de', 'umar', 'menino', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Quando', 'se', 'arriscar', 'parir', 'salvar', 'umar', 'imagem', 'de', 'um', 'de', 'o', 'seu', 'orixás', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Quando', 'atacar', 'outro', 'grupo', '.']","[0, 0, 0, 0, 0]",amado,0,0,1
"['Quando', 'listam', 'suar', 'regrar', 'e', 'aplicar', 'o', 'seu', 'castigo', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['João', 'Grande', 'ser', 'adulto', 'quando', 'defender', 'Dora', ',', 'colocar', 'o', 'seu', 'princípio', 'acima', 'de', 'o', 'grupar', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Professor', 'ser', 'adulto', 'quando', 'o', 'dor', 'de', 'um', 'amor', 'morto', 'o', 'fazer', 'partir', 'e', 'usufruir', 'o', 'seu', 'maior', 'dom', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Jorge', 'Amado', 'ser', 'mestre', 'o', 'o', 'levar', 'o', 'leitor', 'A', 'o', 'ruir', 'de', 'o', 'Bahia', ',', 'viver', 'juntar', 'o', 'o', 'menino', 'de', 'ruir', ',', 'tornar', '-', 'o', 'íntimo', ',', 'mas', 'nem', 'sempre', 'amigo', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Os', 'cheiro', ',', 'o', 'dor', ',', 'o', 'ódio', 'estar', 'latente', 'em', 'o', 'página', ',', 'e', 'por', 'isso', 'ser', 'difícil', 'muito', 'vezar', 'lembrar', 'que', 'o', 'Capitães', 'da', 'Areia', 'ser', 'menino', 'e', 'não', 'homem', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['A', 'reação', 'de', 'quem', 'ler', 'ir', 'depender', 'de', 'o', 'próprio', 'experiência', 'de', 'vidar', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['É', 'possível', 'sentir', 'peno', ',', 'ser', 'possível', 'se', 'sentir', 'indiferente', ',', 'ser', 'possível', 'se', 'aborrecer', 'e', 'pensar', 'em', 'o', 'por', 'que', 'o', 'polícia', 'não', 'prender', '(', 'nem', 'em', 'o', 'literatura', ')', 'esse', 'delinquente', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Areia', '-', 'Quem', 'saber', 'o', 'melhor', 'livrar', 'que', 'o', 'Fuvest', 'e', 'o', 'Unicamp', 'mandar', 'ler']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['O', 'livrar', 'ser', 'interessante', 'de', 'o', 'comedir', 'o', 'o', 'fim', ',', 'ver', 'o', 'jeito', 'que', 'o', 'autor', 'se', 'preocupar', 'em', 'contar', 'o', 'história', 'de', 'cada', 'um', 'de', 'esse', 'menino', 'que', 'viver', 'em', 'o', 'Trapiche', 'falar', 'sobrar', 'seu', 'medo', ',', 'personalidade', 'e', 'sonho', ',', 'haver', 'horar', 'que', 'o', 'leitor', 'simplesmente', 'se', 'esquecer', 'de', 'tratar', 'apenas', 'de', 'criança', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,1,1,1
"['Esse', 'ser', 'de', 'colégio', 'mas', 'ser', 'tão', 'bom', 'que', 'valer', 'ser', 'adicionar', 'aqui', '!']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,1,1,1
"['O', 'melhor', 'livrar', 'brasileiro', 'que', 'já', 'ler', '.']","[0, 0, 1, 0, 0, 0, 0, 0]",amado,1,1,1
"['Jorge', 'Amado', 'escrever', 'de', 'um', 'modo', 'tão', 'lindar', ',', 'tão', 'sincero', ',', 'e', 'tão', 'poético', ',', 'que', 'após', 'o', 'leitura', 'você', 'sentir', 'que', 'realmente', 'conhecer', 'todo', 'aquele', 'pobre', 'menino', 'de', 'o', 'Bahia', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['O', 'momento', 'de', 'o', 'despedir', 'de', 'Pedro', 'Bala', 'encher', 'meu', 'olho', 'de', 'água', ':', '""', '-Gentes', ',', 'agora', 'eu', 'ir', 'embora', ',', 'ir', 'deixar', 'você', '.']","[0, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,1,1,1
"['Vou', 'embora', ',', 'Barandão', 'agora', 'ficar', 'o', 'chefe', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Alberto', 'vir', 'sempre', 'ver', 'você', ',', 'você', 'devir', 'fazer', 'o', 'que', 'ele', 'dizer', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['E', 'todo', 'mundo', 'ouvir', ':', 'Barandão', 'agora', 'ser', 'o', 'chefe', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['O', 'negro', 'Barandão', 'falir', ':', '-Gentes', ',', 'Pedro', 'Bala', 'ir', 'embora', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Viva', 'Pedro', 'Bala', '!']","[0, 0, 0, 0]",amado,0,0,1
"['...', 'Os', 'punho', 'de', 'o', 'Capitães', 'da', 'Areia', 'se', 'levantar', 'fechar', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['-Bala', '!']","[0, 0]",amado,0,0,1
"['Bala', '!']","[0, 0]",amado,0,0,1
"['-gritam', 'em', 'umar', 'despedir', '.']","[0, 0, 0, 0, 0]",amado,0,0,1
"['Os', 'grito', 'encher', 'o', 'noite', ',', 'calar', 'o', 'voz', 'de', 'o', 'negro', 'que', 'cantar', 'em', 'o', 'mar', ',', 'estremecer', 'o', 'céu', 'de', 'estrelo', 'e', 'o', 'coração', 'de', 'Pedro', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Punhos', 'fechar', 'de', 'criança', 'que', 'se', 'levantar', '.']","[0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Bocas', 'que', 'gritar', 'se', 'despedir', 'de', 'o', 'chefe', ':', 'Bala', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Bala', '!']","[0, 0]",amado,0,0,1
"['Barandão', 'estar', 'em', 'o', 'frente', 'de', 'todo', '.']","[0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Ele', 'agora', 'ser', 'o', 'chefe', '.']","[0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Pedro', 'balir', 'perecer', 'ver', 'Volta', 'Seca', ',', 'Sem-Pernas', ',', 'Gato', ',', 'Professor', ',', 'Pirulito', ',', 'Boa-Vida', ',', 'João', 'Grande', 'e', 'Dora', ',', 'todo', 'o', 'o', 'mesmo', 'tempo', 'de', 'entrar', 'ele', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Agora', 'o', 'destinar', 'de', 'ele', 'mudar', '.']","[0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['(', '...', ')', 'De', 'punho', 'levantar', ',', 'o', 'criança', 'saudar', 'Pedro', 'balir', ',', 'que', 'partir', 'parir', 'mudar', 'o', 'destinar', 'de', 'outro', 'criança', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['(', '...', ')', 'De', 'longe', ',', 'Pedro', 'Bala', 'ainda', 'ver', 'o', 'Capitães', 'de', 'o', 'Areia', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Sob', 'o', 'lua', ',', 'em', 'um', 'velho', 'trapiche', 'abandonar', '(', '..', ')', '""', 'Lindo', ',', 'lindar', 'e', 'lindar', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Me', 'arrepender', 'de', 'um', 'dia', 'ter', 'achar', 'chato', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Jorge', 'Amado', 'te', 'envolver', 'de', 'umar', 'maneiro', 'impressionante', ',', 'ele', 'te', 'colocar', 'dentro', 'de', 'o', 'trapiche', 'comer', 'se', 'você', 'estar', 'conviver', 'juntar', 'com', 'aquele', 'garoto', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Li', 'o', 'último', 'palavra', 'de', 'o', 'livrar', 'com', 'um', 'apertar', 'em', 'o', 'coração', '.']","[0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,1,1,1
"['Minha', 'vidar', 'todo', 'este', 'livrar', 'estevar', 'em', 'o', 'estante', 'de', 'o', 'casar', 'de', 'o', 'meu', 'pai', ',', 'quando', 'eu', 'ter', 'mais', 'ou', 'menos', '13', 'ano', 'pegar', 'ele', 'parir', 'ler', 'e', 'odiar', ',', 'não', 'saber', 'se', 'por', 'não', 'compreender', 'em', 'o', 'época', 'ou', 'por', 'ele', 'ser', 'chato', 'mesmo', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,1,1,1
"['Odeio', 'abandonar', 'um', 'livrar', ',', 'normalmente', 'eu', 'o', 'ler', 'até', 'o', 'fim', ',', 'mesmo', 'não', 'gostar', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Areia', '-', 'O', 'Brasil', 'em', 'o', 'década', 'de', '1930']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['A', 'história', 'de', 'garoto', 'pobre', 'que', 'viver', 'em', 'o', 'ruir', 'de', 'o', 'Bahia', 'em', 'o', 'década', 'de', '1930', ',', 'umar', 'de', 'o', 'mais', 'conturbar', 'de', 'o', 'nosso', 'História', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Em', 'umar', 'posição', 'notadamente', 'comunista', 'Jorge', 'Amado', 'propor', 'o', 'o', 'leitor', 'mergulhar', 'em', 'o', 'ingênuos', 'pensamento', 'de', 'o', 'Capitães', 'de', 'o', 'Areia', ',', 'menino', 'que', 'só', 'querer', 'sobreviver', 'em', 'mear', 'o', 'o', 'caos', 'de', 'o', 'miséria', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
"['Livres', 'de', 'preconceito', 'o', 'mesmo', 'ter', 'o', 'hábito', 'de', 'praticar', 'prático', 'sexual', 'entrar', 'si', ',', 'o', 'que', 'ser', 'abominar', 'por', 'o', 'Igreja', 'Católica', 'até', 'hoje', 'comer', 'ser', 'um', 'pecar', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",amado,0,0,1
